#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
276545:5083,07/10/16 04:59:24,206,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,28.357,27.387
276581:5085,07/10/16 12:24:16,366,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,78.780,75.637
276582:5085,07/10/16 14:52:29,871,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,158.962,153.540
276583:5085,07/10/16 20:34:28,52,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,8.477,8.046
276584:5085,07/10/16 20:59:17,2,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,0.324,0.177
276585:5085,07/10/16 21:31:21,242,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,37.401,35.841
276586:5085,07/10/16 23:10:31,751,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,102.906,99.526
276587:5085,07/11/16 04:14:31,1006,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,114.888,110.779
276653:5091,07/12/16 00:12:31,479,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,91.709,88.382
276655:5091,07/12/16 03:26:27,1105,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,176.130,165.415
276659:5091,07/12/16 10:39:13,251,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,33.639,30.783
276775:5093,07/12/16 21:26:43,1164,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,223.502,212.274
276776:5093,07/13/16 05:02:29,1823,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,251.526,242.983
276794:5093,07/13/16 17:05:19,885,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,92.206,89.856
276807:5095,07/14/16 03:24:10,155,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,32.957,31.086
276808:5095,07/14/16 04:28:59,875,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,167.948,161.488
276810:5095,07/14/16 10:15:44,287,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,47.916,45.897
