# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
273433,1,0,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273440,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273440,5,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273442,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273442,5,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273443,1,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273443,25,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273444,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
273445,1,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273446,1,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273447,1,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273448,1,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
